,importance
resp_amplitude,0.11858343245319745
acc_wrist_activity_counts,0.0978131470072115
acc_chest_activity_counts,0.081128687131169
temp_wrist_mean,0.040196309687833866
emg_burst_count,0.03343296281728935
resp_std,0.029512293146611124
resp_rate_bpm,0.020733477308632207
hrv_ecg_pnn50,0.020203177422516948
emg_rms,0.013654251294594685
temp_wrist_slope,0.010088040883081333
hrv_bvp_rmssd,0.00991865588802018
hrv_bvp_n_beats,0.004617515830243731
hrv_ecg_n_beats,0.003647736625514408
resp_rate_var,0.003577123624841528
acc_wrist_mag_mean,0.003194344201751611
acc_chest_mag_std,0.003046501040885754
emg_mav,0.002070664295740201
eda_chest_phasic_auc,0.001964165875276989
eda_chest_tonic_mean,0.0018724041390708079
acc_wrist_energy,0.001844273457800028
hrv_bvp_mean_hr,0.001402975625197849
eda_chest_mean,0.0013519209361299673
emg_zcr,0.0012210025468068306
temp_chest_slope,0.0011223805001582792
eda_wrist_std,0.0010670796371279486
eda_wrist_scr_count,0.00100679165653366
eda_chest_scr_count,0.0008417853751187095
temp_wrist_std,0.0007684521110584185
eda_chest_std,0.000688286372496899
eda_wrist_slope,0.0005853208519875178
hrv_bvp_lf_hf,0.0005611902500791396
eda_chest_slope,0.0005611902500791396
eda_chest_scr_amp_mean,0.0003900125639256108
eda_wrist_scr_amp_mean,0.0003225953422031876
eda_wrist_tonic_slope,0.0003047257269479478
acc_chest_mag_mean,0.0002805951250395698
hrv_ecg_mean_hr,0.0001755567369602456
eda_chest_tonic_slope,0.00016161616161616216
eda_chest_phasic_std,0.0
emg_std,0.0
eda_chest_scr_amp_max,0.0
eda_wrist_tonic_mean,0.0
acc_wrist_mag_std,-0.00014718924283671522
eda_wrist_phasic_std,-0.00029294460534395867
hrv_ecg_lf_hf,-0.0009690430361972822
temp_chest_std,-0.0011303396192285107
hrv_bvp_pnn50,-0.0012395572024653267
hrv_ecg_sdnn,-0.0015873015873015906
hrv_ecg_rmssd,-0.0019132761661497311
acc_chest_energy,-0.0023649075204630813
eda_wrist_mean,-0.002722651350102336
temp_chest_mean,-0.0028559305143703627
hrv_bvp_sdnn,-0.0031905267035701834
eda_wrist_phasic_auc,-0.003247667682660228
eda_wrist_scr_amp_max,-0.0034451646045848966
