,importance
acc_wrist_activity_counts,0.08881839502224778
acc_wrist_mag_std,0.07966877876676662
resp_std,0.061604809352655734
resp_amplitude,0.0613573575563152
acc_chest_activity_counts,0.05935126460689648
temp_wrist_mean,0.051915441355237346
acc_chest_mag_std,0.04521899110383761
emg_burst_count,0.04004686272149206
acc_chest_energy,0.031606118183432924
acc_wrist_energy,0.02976011407847451
hrv_ecg_pnn50,0.02806595801929368
acc_chest_mag_mean,0.027795237133967848
hrv_ecg_rmssd,0.02447059168639118
emg_std,0.020528891873359323
hrv_bvp_rmssd,0.019897074559371068
resp_rate_bpm,0.019491494286433823
acc_wrist_mag_mean,0.019229527402689333
emg_rms,0.017319892415784247
temp_chest_mean,0.016330927205085832
hrv_bvp_sdnn,0.013285992599970283
resp_rate_var,0.013236368160650502
hrv_bvp_pnn50,0.012585213463407465
eda_wrist_phasic_auc,0.011666960601639778
eda_wrist_phasic_std,0.010640310170287808
emg_mav,0.010487981573566688
hrv_ecg_sdnn,0.01007359493491787
hrv_ecg_mean_hr,0.00996046031245775
temp_wrist_slope,0.00991017735146108
hrv_bvp_n_beats,0.008456752792552213
temp_wrist_std,0.00815959348661974
eda_wrist_tonic_mean,0.007594188074535615
eda_chest_mean,0.007386705066916627
eda_chest_phasic_auc,0.007338901950441056
eda_wrist_mean,0.007331921406974909
hrv_ecg_n_beats,0.0070945074391343
eda_chest_std,0.007091140067913827
eda_chest_tonic_mean,0.006877804228703525
temp_chest_slope,0.00580571286603466
temp_chest_std,0.005776629833210476
eda_wrist_scr_amp_max,0.005714741144084667
eda_chest_scr_count,0.0056768635789218366
eda_chest_phasic_std,0.005585913194272911
hrv_bvp_mean_hr,0.0055225573160760134
eda_chest_scr_amp_max,0.005433820765078957
eda_wrist_scr_amp_mean,0.005432658806436784
eda_wrist_scr_count,0.005212511315735522
emg_zcr,0.005062316758907863
eda_chest_slope,0.004878872884161031
hrv_bvp_lf_hf,0.00476488624749414
eda_chest_scr_amp_mean,0.004310740903328476
hrv_ecg_lf_hf,0.00403971339082722
eda_wrist_slope,0.003982547199695588
eda_wrist_tonic_slope,0.0038762685931415805
eda_wrist_std,0.0037422079959981286
eda_chest_tonic_slope,0.003524736194710614
