,mean_abs_shap
acc_wrist_activity_counts,0.13998107841546328
acc_chest_activity_counts,0.12278655553822332
resp_amplitude,0.10699880789270172
temp_wrist_mean,0.06937671230444094
emg_burst_count,0.05872954545389789
resp_std,0.03918909818162133
hrv_ecg_pnn50,0.03136380145709482
resp_rate_bpm,0.024712571030985217
hrv_bvp_rmssd,0.020133130077362317
acc_wrist_mag_std,0.017751913902566162
emg_rms,0.012815647467233154
temp_chest_mean,0.010902232920551865
temp_wrist_slope,0.010404134282096264
resp_rate_var,0.0097604846161173
acc_chest_mag_std,0.009216202483389708
temp_wrist_std,0.004854880695994443
eda_chest_mean,0.004549877226706385
emg_mav,0.0039362613448409725
hrv_bvp_sdnn,0.0035342804653162455
eda_wrist_phasic_std,0.00334740487828958
eda_wrist_scr_amp_mean,0.0033351252267977897
eda_wrist_phasic_auc,0.003311859157604862
eda_chest_tonic_mean,0.0030315298816248715
hrv_ecg_lf_hf,0.0027001799206906713
hrv_ecg_mean_hr,0.002558760283649567
hrv_ecg_rmssd,0.002554205118249238
hrv_bvp_mean_hr,0.0024280910132629314
hrv_bvp_pnn50,0.002363075104593328
eda_chest_scr_amp_mean,0.00231455917645122
acc_wrist_mag_mean,0.0022740134870448026
acc_chest_mag_mean,0.001879726242468153
emg_zcr,0.0018629194496792225
hrv_bvp_n_beats,0.0018565497660555268
eda_chest_std,0.0017846566898786934
temp_chest_slope,0.0014716978564242643
eda_chest_scr_count,0.0014639291281675134
temp_chest_std,0.0012935506989129074
eda_wrist_slope,0.0012266920163041708
eda_wrist_scr_amp_max,0.0011029539588270115
acc_chest_energy,0.001088105712646388
acc_wrist_energy,0.00102624488766513
hrv_bvp_lf_hf,0.0009783047533014513
eda_wrist_mean,0.0009334772632426323
hrv_ecg_n_beats,0.000678567102416881
eda_chest_tonic_slope,0.0006427311838724268
eda_chest_phasic_auc,0.0005371499790534136
hrv_ecg_sdnn,0.0005320381536225081
eda_wrist_scr_count,0.00048593961247381153
eda_chest_phasic_std,0.0004213198396006848
eda_chest_scr_amp_max,0.0004029021385824458
eda_chest_slope,0.00038942545622548154
eda_wrist_std,0.0003006102752606596
eda_wrist_tonic_mean,0.00020689239913383197
eda_wrist_tonic_slope,0.00017529078062553395
emg_std,0.0
