feature,F_stat,p_value,modality
acc_wrist_mag_std,228.8617639429,5.426312443745084e-71,Accelerometer (wrist)
acc_wrist_activity_counts,204.72012973872538,2.0366926820437873e-65,Accelerometer (wrist)
acc_chest_mag_std,179.1644728893437,3.507699497083756e-59,Accelerometer (chest)
resp_amplitude,140.62395603818024,4.977385817511556e-49,Respiration (chest)
temp_wrist_mean,96.20180720342324,5.452439446413497e-36,Temperature (wrist)
emg_burst_count,90.08279760987612,4.6158380279255715e-34,EMG (chest)
acc_wrist_energy,89.90978865772468,5.2391648617857364e-34,Accelerometer (wrist)
acc_chest_activity_counts,83.673937308798,5.262850997909485e-32,Accelerometer (chest)
emg_rms,79.484730935692,1.2232179962543123e-30,EMG (chest)
emg_std,79.4847294945215,1.2232193286215372e-30,EMG (chest)
acc_wrist_mag_mean,78.05982550994598,3.599470909205378e-30,Accelerometer (wrist)
acc_chest_energy,55.72436333715829,1.5342035165242828e-22,Accelerometer (chest)
hrv_ecg_pnn50,54.60939204963711,3.8142592433189104e-22,HRV (chest ECG)
acc_chest_mag_mean,49.570887817039335,2.4393209569327822e-20,Accelerometer (chest)
eda_chest_phasic_auc,47.387332576197174,1.5116878673828102e-19,EDA (chest)
temp_wrist_slope,45.21136108782228,9.43606788577285e-19,Temperature (wrist)
hrv_ecg_rmssd,43.50604211145724,4.0018320637339895e-18,HRV (chest ECG)
resp_std,42.56409589381451,8.921380946271494e-18,Respiration (chest)
eda_chest_mean,42.26447926015853,1.1519090448861688e-17,EDA (chest)
eda_chest_tonic_mean,42.12660604554941,1.2957729710656054e-17,EDA (chest)
eda_wrist_mean,41.18734387410047,2.893165605354312e-17,EDA (wrist)
eda_chest_phasic_std,41.17295658770819,2.9290422476629677e-17,EDA (chest)
eda_wrist_tonic_mean,40.735377328132635,4.2622765030304435e-17,EDA (wrist)
hrv_bvp_rmssd,38.05937973998551,4.2794630769475566e-16,HRV (wrist BVP)
hrv_bvp_n_beats,36.41436966600966,1.786018222148087e-15,HRV (wrist BVP)
emg_mav,35.694330112171265,3.3467428952222307e-15,EMG (chest)
hrv_ecg_n_beats,35.670790161293745,3.4162573001677956e-15,HRV (chest ECG)
eda_wrist_phasic_auc,34.20412389320516,1.2339676124711761e-14,EDA (wrist)
hrv_bvp_mean_hr,33.72586194755228,1.8785019099840188e-14,HRV (wrist BVP)
hrv_ecg_mean_hr,32.84380318813251,4.0853659136120936e-14,HRV (chest ECG)
hrv_ecg_sdnn,32.66773215867879,4.7721300030778554e-14,HRV (chest ECG)
hrv_bvp_sdnn,29.2278662026192,1.0132233218318198e-12,HRV (wrist BVP)
eda_wrist_phasic_std,29.00769538107882,1.2336844226217951e-12,EDA (wrist)
hrv_bvp_pnn50,27.10051396776366,6.834347379912784e-12,HRV (wrist BVP)
eda_chest_scr_amp_mean,15.051317318559073,4.5234274683800733e-07,EDA (chest)
resp_rate_bpm,11.517584632625056,1.2928297658749645e-05,Respiration (chest)
eda_chest_scr_amp_max,11.039033830038044,2.0429730734975547e-05,EDA (chest)
eda_wrist_scr_amp_mean,7.6622595552659165,0.00052856158497632,EDA (wrist)
eda_wrist_scr_count,6.875475961503577,0.0011349713489281826,EDA (wrist)
temp_chest_mean,6.1150328017266995,0.002380925522691224,Temperature (chest)
eda_chest_std,4.929556363614866,0.007590824069659215,EDA (chest)
hrv_bvp_lf_hf,4.731492219606669,0.009218293831908806,HRV (wrist BVP)
resp_rate_var,2.8646729093506043,0.05795307178268414,Respiration (chest)
temp_wrist_std,2.6896421543829243,0.06890373797630688,Temperature (wrist)
temp_chest_slope,2.0078078030331348,0.13538151730838505,Temperature (chest)
eda_wrist_std,1.3695811415797083,0.2551808605499781,EDA (wrist)
emg_zcr,1.063136370845682,0.3461629386101874,EMG (chest)
temp_chest_std,0.9800261238831598,0.3760327055523242,Temperature (chest)
hrv_ecg_lf_hf,0.6348234655631763,0.5304626309262189,HRV (chest ECG)
eda_chest_slope,0.5420986546668629,0.5818734864989118,EDA (chest)
eda_chest_tonic_slope,0.505186276393613,0.603705815874535,EDA (chest)
eda_wrist_scr_amp_max,0.25651732844822717,0.7738450035982417,EDA (wrist)
eda_wrist_tonic_slope,0.1317631059346549,0.8765795404838151,EDA (wrist)
eda_wrist_slope,0.11293071442649565,0.8932356912832816,EDA (wrist)
eda_chest_scr_count,0.09013983732625298,0.9138184800629378,EDA (chest)
